Condo Name (ID),Address,Status,Last Update,Request Received Date,Review Completion Date,id
CRANDON PLACE (000636),7014 S CRANDONCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288676
CRYSTAL COVE CONDOMINIUMS (IL0573),CHICAGO IL 60653 COOK ,Accepted Without Conditions,Unavailable,06/11/2008,06/11/2008,397125
DAKOTA (000863),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288895
DAMEN COURT (000270),918 N DAMENCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288322
DARKIN COURT (000980),CHICAGO IL 60613 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289005
DEARBORN PARK T/H CONDO (001454),1160 S PLYMOUTH COURTCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289441
DEARBORN VILLAGE I (002049),CHICAGO IL 60616 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290019
DEARBORN VILLAGE II (002078),CHICAGO IL 60603 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290043
DEARBORN VILLAGE III (002079),CHICAGO IL 60603 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290044
DEARBORN VILLAGE IV (002080),CHICAGO IL 60603 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290045
DEARBORN VILLAGE V (002081),CHICAGO IL 60603 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,290046
DELAWARE CONDOMINIUM (000315),CHICAGO IL 60610 COOK ,Accepted Without Conditions,Unavailable,05/02/2012,05/17/2012,480905
DORAL SOUTH (000181),7854 SOUTH SHORE DRCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288239
DORCHESTER GREEN (000841),6100-08 S DORCHESTERCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288873
DOVER COURT CONDOMINIUM ASSOCI (002204),4607 N. DOVER STREETCHICAGO IL 60640 USA ,Accepted Without Conditions,Unavailable,02/19/2013,03/22/2013,496644
DOVER COURT CONDOMINIUM ASSOCI (002203),4607 N. DOVER STREETCHICAGO IL 60640 COOK ,Accepted Without Conditions,Unavailable,02/19/2013,03/22/2013,496524
DREXEL PARC LOFTS CONDOMI (IL0943),CHICAGO IL 60653 COOK ,Accepted With Conditions,Unavailable,08/27/2009,08/28/2009,435104
DREXEL PLACE CONDOMINIUM (002265),4127-29 S DREXEL AVECHICAGO IL 60653 COOK ,Accepted Without Conditions,Unavailable,12/03/2013,01/02/2014,509585
DREXEL SQUARE (000463),5121 S DREXELCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288507
DUNBARS CHASELAND (000299),1545 W CHASECHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288350
EAST POINT CONDOMINIUM (000521),6101 SHERIDAN RD EASTCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288564
EASTGATE (IL0606),CHICAGO IL 60616 COOK ,HUD Accepted,Unavailable,10/08/2008,10/10/2008,406574
EASTWOOD BY THE LAKE (IL1028),CHICAGO IL 60640 COOK ,HUD Accepted,Unavailable,11/10/2009,11/25/2009,442485
EBERHART COMMONS (000488),6965-67 S EBERHARTCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288532
EDGEWATER GLEN (IL0923),CHICAGO IL 60660 COOK ,HUD Accepted,Unavailable,07/30/2009,07/31/2009,431963
EDGEWATER ONE CONDOMINIUM (000025),ASSOCIATIONCHICAGO IL 60660 COOK ,Accepted Without Conditions,Unavailable,04/14/2011,04/27/2011,465684
ELECTRIC COMPANY LOFTS (000871),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288903
ELLINGTON MANOR II (002401),DREXEL AVECHICAGO IL 60615 COOK ,Accepted Without Conditions,Unavailable,06/17/2015,07/06/2015,539571
ELLIS TOWER (000898),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288930
ELM GLEN (000669),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288705
ELMS (000840),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288872
EMERALD CONDOMINIUM (001340),CHICAGO IL 60607 COOK ,Accepted Without Conditions,Unavailable,09/20/2012,10/01/2012,487964
EMERALD CONDOMINIUM (IL0869),CHICAGO IL 60607 COOK ,HUD Accepted,Unavailable,06/03/2009,06/08/2009,425952
EMERSON PARK (001296),6200 N RIDGECHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,289299
ENCLAVE AT GALEWOOD (IL0820),CROSSINGSCHICAGO IL 60639 COOK ,Accepted Without Conditions,Unavailable,04/13/2009,04/21/2009,421244
ERIE CENTRE (000915),CHICAGO IL 60654 -  0000 COOK ,Accepted Without Conditions,Unavailable,10/20/2009,Unavailable,288947
ESSEX HOUSE (000451),8116-18 S ESSEXCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288495
ESSEX MANOR (000529),8130 S ESSEXCHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288572
ESTES RIDGE CONDOMINIUM (002270),1930 WEST ESTESCHICAGO IL 60626 COOK ,Accepted Without Conditions,Unavailable,12/16/2013,01/27/2014,510129
EVELYN CONDOMINIUM (IL0375),ASSNCHICAGO IL 60640 COOK ,Accepted With Conditions,Unavailable,02/23/2007,02/27/2007,373744
EVELYN CONDOMIUM (IL0375),ASSOCIATIONCHICAGO IL 60640 COOK ,Accepted With Conditions,Unavailable,02/23/2007,02/27/2007,373723
FILMWORKS LOFTS (000815),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288848
FITCH PARK (000341),2615-29 W FITCHCHICAGO IL 60607 -  0000 ,Accepted With Conditions,Unavailable,Unavailable,Unavailable,288390
FOLIO SQUARE (000766),CHICAGO IL 60607 -  0000 ,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,288800
FRANCISCO-ELSTON CONDO (002534),CONDOCHICAGO IL 60618 COOK ,Accepted Without Conditions,Unavailable,08/12/2016,08/18/2016,566553
