Condo Name (ID),Address,Status,Last Update,Request Received Date,Review Completion Date,id,detail_uri,index,lob_data_address_line1,lob_data_address_line2,lob_data_address_city,lob_data_address_state,lob_data_address_zip,lob_data_address_country,lob_data_object,lob_data_message
BRANDON SHORES,CHICAGO IL 60607 -  0000,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,000895,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_288927&_requestid=816752,7,,,,,,,,
BRENDEL,2550 W. FULLERTON AVE CHICAGO IL 60647 COOK,Accepted Without Conditions,Unavailable,09/20/2016,09/23/2016,002552,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_568972&_requestid=816752,7,2550 W FULLERTON AVE,"",CHICAGO,IL,60647-2432,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
BRIDGPORT,CHICAGO IL 60608 COOK,HUD Accepted,Unavailable,10/27/2011,Unavailable,000073,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_473963&_requestid=816752,7,,,,,,,,
BRIGHTON OF LINCOLN PARK,2322-30 LINCOLN PARK WEST CHICAGO IL 60607 -  0000,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,000234,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_288288&_requestid=816752,7,2322 N LINCOLN PARK W # 30,"",CHICAGO,IL,60614-6079,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
BRITTANY GLEN,CHICAGO IL 60660 COOK,Accepted With Conditions,Unavailable,05/02/2012,05/02/2012,000326,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_480964&_requestid=816752,7,,,,,,,,
BUCK CITY LOFTS,1740 NORTH MAPLEWOOD AVENUE CHICAGO IL 60647 COOK,Accepted Without Conditions,Unavailable,12/09/2013,12/09/2013,002267,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_509744&_requestid=816752,7,1740 N MAPLEWOOD AVE,"",CHICAGO,IL,60647-5258,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
BUCKINGHAM PALACE,CHICAGO IL 60657 -  0000,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,000919,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_288951&_requestid=816752,7,,,,,,,,
BUCKTOWN GARDENS,1701 N DAMEN CHICAGO IL 60607 -  0000,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,000738,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_288774&_requestid=816752,7,1701 N DAMEN AVE,"",CHICAGO,IL,60647-5567,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
BUENA PARK,4201 N CLARENDON CHICAGO IL 60607 -  0000,Accepted Without Conditions,Unavailable,Unavailable,Unavailable,000160,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_288218&_requestid=816752,7,4201 N CLARENDON AVE,"",CHICAGO,IL,60613-1573,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
BUENA POINTE,4350 N BROADWAY ST CHICAGO IL 60613 COOK,Accepted Without Conditions,Unavailable,02/15/2013,03/04/2013,002201,https://vip.vba.va.gov/portal/VBAH/VBAHome/condopudsearch?paf_portalId=default&paf_communityId=100002&paf_pageId=500002&paf_dm=full&paf_gear_id=800001&paf_gm=content&paf_ps=_pm_800001%3Dview%26_md_800001%3Dview%26_rp_800001_cpbaction%3D1_viewPudDetails%26_ps_800001%3Dmaximized%26_st_800001%3Dmaximized%26_pid%3D800001%26_rp_800001_sortLetter%3D1_%26_rp_800001_singledetail%3D1_496024&_requestid=816752,7,4350 N BROADWAY ST,"",CHICAGO,IL,60613-1781,US,address,"Default address: The address you entered was found but more information is needed (such as an apartment, suite, or box number) to match to a specific address."
